execucao_id,cenario,familia_intencionada,classe,ids,n_alertas,n_corretos,n_errados,familias_detectadas,rotulo,familia_prevista
campanha02-port-scanner-tcp-malicioso-r07,port-scanner-tcp,scan,malicioso,zeek,3024,2957,0,nao-mapeado;scan,TP,scan
campanha02-benigno-icmp-benigno-r05,benigno-icmp,icmp,benigno,suricata,0,0,0,-,TN,-
campanha02-benigno-icmp-benigno-r05,benigno-icmp,icmp,benigno,snort,0,0,0,-,TN,-
campanha02-benigno-icmp-benigno-r05,benigno-icmp,icmp,benigno,zeek,0,0,0,-,TN,-
campanha02-idor-path-traversal-malicioso-r07,idor-path-traversal,path-traversal,malicioso,suricata,1533,0,1154,dos-http;flood-syn;nao-mapeado,ERRO_CLASSIF,dos-http
campanha02-idor-path-traversal-malicioso-r07,idor-path-traversal,path-traversal,malicioso,snort,843,0,843,dos-http;flood-syn,ERRO_CLASSIF,dos-http
campanha02-idor-path-traversal-malicioso-r07,idor-path-traversal,path-traversal,malicioso,zeek,1070,598,0,nao-mapeado;path-traversal,TP,path-traversal
campanha02-sql-injection-malicioso-r14,sql-injection,sqli,malicioso,suricata,1248,2,1246,dos-http;sqli;xss,TP,sqli
campanha02-sql-injection-malicioso-r14,sql-injection,sqli,malicioso,snort,2,0,2,xss,ERRO_CLASSIF,xss
campanha02-sql-injection-malicioso-r14,sql-injection,sqli,malicioso,zeek,5,2,3,sqli;xss,TP,sqli
campanha02-benigno-ssh-benigno-r05,benigno-ssh,ssh,benigno,suricata,0,0,0,-,TN,-
campanha02-benigno-ssh-benigno-r05,benigno-ssh,ssh,benigno,snort,0,0,0,-,TN,-
campanha02-benigno-ssh-benigno-r05,benigno-ssh,ssh,benigno,zeek,0,0,0,-,TN,-
campanha02-dos-http-simple-malicioso-r12,dos-http-simple,dos-http,malicioso,suricata,9,7,2,dos-http;flood-syn,TP,dos-http
campanha02-dos-http-simple-malicioso-r12,dos-http-simple,dos-http,malicioso,snort,0,0,0,-,FN_PURO,NENHUM
campanha02-dos-http-simple-malicioso-r12,dos-http-simple,dos-http,malicioso,zeek,1,0,0,nao-mapeado,FN_PURO,NENHUM
campanha02-idor-path-traversal-malicioso-r05,idor-path-traversal,path-traversal,malicioso,suricata,1128,0,868,dos-http;flood-syn;nao-mapeado,ERRO_CLASSIF,dos-http
campanha02-idor-path-traversal-malicioso-r05,idor-path-traversal,path-traversal,malicioso,snort,1131,0,1131,dos-http;flood-syn,ERRO_CLASSIF,dos-http
campanha02-idor-path-traversal-malicioso-r05,idor-path-traversal,path-traversal,malicioso,zeek,1069,598,0,nao-mapeado;path-traversal,TP,path-traversal
campanha02-benigno-mix-benigno-r07,benigno-mix,mix,benigno,suricata,0,0,0,-,TN,-
campanha02-benigno-mix-benigno-r07,benigno-mix,mix,benigno,snort,0,0,0,-,TN,-
campanha02-benigno-mix-benigno-r07,benigno-mix,mix,benigno,zeek,0,0,0,-,TN,-
